Nº,Autor,Título,Editorial,ISBN
1880," Guarinoni, Mariana",La adelantada de los Mares del Sur," Argentina : Ed. Vergara, 2015 ; 372 p. ; 22cm.",ISBN : 978-950-15-2630-1
1881," Guarinoni, Mariana ",Hijas del sol," Argentina : Ed. Vergara, 2017 ; 427 p. ; 23 cm.",ISBN : 978-950-15-621-9
1882," Guarinoni, Mariana",Renacerán mil rosas," Argentina : ed. B, 2018 ; 382 p. ; 22 cm.",ISBN : 978-987-627-5
1883," Guarinoni, Mariana",Puerto prohibido," Argentina : Ed. Vergara, 2017 ; 344 p. ; 23 cm.",ISBN : 978-950-15-6199-9
1884," Guarinoni, Mariana",Tierra de fugitivos," Argentina : Ed. Vergara, 2014 ; 378 p. ; 23 cm.",ISBN : 978-950-15-6158-6
1885," Rivero, Viviana",Los colores de la felicidad," Argentina : Ed. Emecé, 2019 ;  438 p. ; 23 cm.",ISBN : 978-950-04-376-8
1886," Bonelli, Florencia",Jasy," Argentina : Ed. SUMA, 2014 ; 605 p. ; 23 cm.",ISBN : 978-987-04-3612-6
1887," Bonelli, Florencia",Nacida bajo el sol de acuario," Argentina : Ed. Alfaguara, 2016 ; 67 p. ; 21 cm.",ISBN : 978-987-738-161-0
1888," Bonelli, Florencia",La tierra sin mal," Argentina : Ed. SUMA, 2016 ; 787 p. ; 23 cm.",ISBN : 978-987-739-022-3
1889," Bonelli, Florencia",Bodas de odio," Argentina : Ed. SUMA, 2016 ; 396 p. ; 23 cm.",ISBN : 978-987-042848-0
1890," Bonelli, Florencia",Almanegra," Argentina : Ed. SUMA, 2015 ; 637 p. ; 23 c.",ISBN : 978-987-739-007-0
1891," Bonelli, Florencia","Dime, ¿quién es como Dios?"," Argentina : Ed. SUMA, 2019 ; 813 p. ; 23 cm.",ISBN : 978-987-739-124-4
1892," Bonelli, Florencia",Cuentos para Felipe," Argentina : Ed. Alfaguara, 2013 ; il. ; 70p. ; 22 cm.",ISBN : 978-987-04-3186-2
1893," Roux, Mandeleine",Catacomb," Argentina : Ed. V&R, 2016 ; il. ; 334 p. ; 20 cm.",ISBN : 978-987-747-059-8
1894," Roux, Mandeleine",Asylum," Argentina : Ed. V&R, 2014 ; il. ; 313 p. ; 20 cm.",ISBN : 978-987-612-778-3
1895," Roux, Mandeleine",Escape del Asylum," Argentina ; Ed. V&R, 2016 ; il. ; 340 p. ; 20 cm.",ISBN : 978-987-747-253-0
1896," Roux, Mandeleine",Sanctum," Argentina : Ed. V&R, 2015 ; il. ; 234 p. ; 20 cm.",ISBN: 978-987-612-906-0
1897," Falconi, María Inés",Caídos del mapa II Con un pie en el micro," Argentina : Ed. Quipu, 2018 ;  il. ; ;223 p. ; 20 cm.",ISBN : 978-987-504-028-1
1898," Falconi, María Inés",Caídos del mapa II En viaje de egresados," Argentina : Ed. Quipu, 2018 ;  il. ; 256 p. ; 20 cm.",ISBN : 978-987-54-029-8
1899," Falconi, María Inés",Caídos del mapa IV Chau septimo," Argentina : Ed. Quipu, 2018 ; il. ; 253 p. ; 20 cm.",ISBN : 978-987-504-03-4
1900," Falconi, María Inés",Caídos del mapa VI Un año más," Argentina : Ed. Quipu, 2017 ; il. ; 245 p. ; 20 cm.",ISBN : 978-987-504-046-5
1901," Falconi, María Inés",Caídos del mapa VII Un triste adios," Argentina : Ed. Quipu, 2017 ; il. ; 239 p. ; 2 cm.",ISBN : 978-987-504-047-2
1902," Falconi, María Inés","Caídos del mapa VIII Todos para uno, uno para todos"," Argrntina : Ed. Quipu, 2016 ; 249 p. ; 20 cm.",ISBN : 978-987-504-025-0
1903," Falconi, María Inés",Caídos del mapa IX Un novio para Miriam," Argentina : Ed. Quipu, 2015 ; 271 p. ; 20 cm.", ISBN : 978-987-504-048-9
1904," Falconi, María Inés",Caídos del mapa X ¿Llegó el final?," Argentina : Ed. Quipu, 2018 ; 279 p. ; 2 cm.",ISBN : 978-987-504-068-7
1905," Falconi, María Inés",Caídos del mapa XI Fiesta de despedida," Argentina : Ed. Quipu, 2016 ; 231 p; 20 cm",ISBN : 978-987-504-099-1
1906," Falconi, María Inés",Caídos del mapa XII Amigos con secretos," Argentina : Ed. Quipu, 2016 ; il. ; 159 p. ; 20 cm.",ISBN : 978-987-504-177-6
1907," Pimenta, Paula",Viviendo mi película 3 Novela," Argentina : Ed. V&R, 2016 ; 437 p. ; 20 cm.",ISBN : 978-987-747-138-0
1908," Pimenta, Paula",Viviendo mi película 2 novela," Argentina : Ed. V&R, 2015 ; 333 p. ; 20 cm.",ISBN : 978-987-612-995-4
1909," Pimenta, Paula",Viviendo mi película 1 Novela," Argentina : Ed. V&R, 2014 : 365 p. ; 20 cm.",ISBN : 978-987-612-855-1
1910," Colfer, Chris",La tierra de las historias Advertencia de los hermanos Grimm," Argentina : Ed. V&R, 2017 ; il. ; 500 p. ; 20 cm.",ISBN : 978-987-747-295-0
1911," Colfer, Chris",La tierra de las hostorias Más allá de los reinos," Argentina : Ed. V&R, 2017 ; il. ; 411 p. ; 20 cm.",ISBN : 978-987-747-377-3
1912," Colfer, Chris",La tierra de las historias La odisea del autor," Argentina : Ed. V&R, 2019 ; il. ; 420 p. ; 20 cm.",ISBN : 978-987-747-477-0
1913," Colfer, Chris",La tierra de las historia El regreso de la hechicera," Argentina : Ed. V&R, 2017 ; il. ; 546 p. ; 20 cm.",ISBN : 978-987-747-209-7
1914," Marvel, G. L",Cuentos para niños que sueñan con cambiar el mundo," Argentina : Ed.Duomo, 2018 ; il. ; 147 p. ; 23 cm.",ISBN : 978-84-17128-53-1
1915," Alcott, Louisa May",Mujercitas," -argentina : Ed. Gribaudo, 2019 ; il. ; 312 p. ; 19 cm.",ISBN : 978-84-17127-36-7
1916," Favilli, Elena",Cuentos de buenas noches para niñas rebeldes," Argentina : Ed. Planeta, 2019 : il. 212 p. ; 23 cm.",ISBN : 978-950-49-5870-3
1917," Nesbit, E.",El castillo encantado," Argentina : Ed. Salim, 2014 ; 189 p. ; 17 cm.",ISBN : 978-987-1998-90-6
1918," Gripe, María",Los escarabajos vuelas al atardecer," Argentina : Ed. SM, 2015 ; 310 p. ; 20 cm.",ISBN : 978-987-573-375-6
1919," Pescetti, Luis",La enciclopedia de las chicas Perla," Argentina : Ed. Santillana, 2018 ; il. ; 172 p. 19 cm.",ISBN : 978-950-46-4708-9
1920," Gaarder, Jostein",La joven de las naranjas," Argentina : Ed. Siruela, 2016 ; 16 p. ; 21 cm.",ISBN : 978-84-7844-816-6
1921," Bird, Poldy",Palabras para mi hija adolescente," Argentina : Ed. Del Nuvo Extremo, 2014 ; 93 p. ; 19 cm.",ISBN : 978-987-609-217-3
1922," Lins e Silva, Flávia",Diario de Pilar en Africa," Argentina : V&R, 2019 ; il. ; 200 p. ; 18 cm.",ISBN : 978-987-747-371-1
1923," Lins e Silva, Flávia",Tu diario de Viaje con Pilar," Argentina : Ed. V&R, 2019 ; il. ; 200 p. ; 18 cm.",ISBN : 978-987-747-371-1
1924," Lins e Silva, Flávia",Diario de Pilar en Egipto," Argentina : Ed. V&r, 2019 ; il. ; 200 p ; 18 cm.",ISBN : 978-987-747-131-1
1925," Lins e Silva, Flávia",Diario de Pilar en China," Argentina : Ed. V&R, 2019 ; il. ; 200 p ; 18 cm.",ISBN : 978-987-747-429-9
1926," Pescetti, Luis María",Nuestro planeta Natacha," Argentina : Ed. Santillana, 2018 ; il. ; 325 p. ; 20 cm.",ISBN : 978-950-46-4418-7
1927," Ende, Michael",Momo," Argentina : Ed. Santillana, 2019 ; 316 p. ; 21 cm.",ISBN : 978-950-46-4589-4
1928, Quino,Mafalda 1," Argentina : Ed. De La Flor, ; il. ; 13 cm.",nan
1929, Quino,Mafalda 2," Argentina : Ed. De La Flor, ; il. ; 13 cm",nan
1930, Quino,Mafalda 3," Argentina : Ed. De La Flor, ; il. ; 13 cm.",nan
1931, Quino,Mafalda 4," Argentina : Ed. De La Flor, ; il. ; 13 cm.",nan
1932, Quino,Mafalda 5," Argentina : Ed. De La Flor, ; il. ; 13 cm",nan
1933, Quino,Mafalda 6," Argentian : Ed. De La Flor, ; il. ; 13 cm.",nan
1934, Quino,Mafalda 7,"Argentina : Ed. De La Flor, ; il. ; 13 cm.",nan
1935, Quino,Mafalda 8,"Argentina : Ed. De La Flor, ; il. ; 13 cm.",nan
1936, Quino ,Mafalda 9," Argentina : Ed. De La Flor, ; il. ; 13 cm.",nan
1937, Quino,Mafalda 10, Argentina : Ed. De La Flor ; il. ; 13 cm.,nan
1938," Sosa, María Martina",CIUDADANIA 2 Formación Etica y Ciudadana," Argentina : Ed. Estrada, 2020 ; il. ; 27 cm. ; 143 p.",ISBN: 978-950-01-2500-0
1939," Vattuone, Lucy F. de",Biología," Argentina : Ed. Puerto de Palos, 2018 ; il. ; 27 cm. ; 208 p.",ISBN: 978-987-547-711-7
1940,nan,nan,nan,nan
1941," Stovene, Hrriet Beecher",La cabaña del Tío Tom," Argentina : Ed. Atlantida, 2009 ; il. ; 19,5 cm. ; 176 p.",ISBN: 978-950-08-1517-8
1942," Saad, Emilio",El Familiar Una historia de terror," Argentina : Ed. Estrada, 2017 ; 19 cm. ; 128 p.",ISBN : 978-95-01-1190-4
1943," Shakespeare, Wiliam",Romeo y Julieta, Argentina : Ed. Gradifco 2007 ; 19 cm. ; 96 p.,ISBN : 978-987-1093-15-1
1944," Alcott, Louisa May",Mujercitas," Argentina : Ed. Salim, 2014 ; 17,5 cm. ; 288 p.",ISBN : 978-987-1998-84-5
1945," Mainé, Margarita A.",El (h)ijo la libertad," Argentina : Ed. Norma, 2018 ; 21 cm. ; 96 p.",ISBN : 978-987-545-358-6
1946," Parera, Aníbal Antonio",El ermitaño de Cabo Vírgenes," Argentina : Ed. Suelo Fértil, ; 18 cm. ; 84 p.",ISBN : 987-97830-8-5
1947," Parera, Aníbal Antonio",La espada de la Confederación," Argentina : Ed. Suelo Fértil, 2012 ; 19 cm. ; 78 p.",ISBN : 978-987-23880-2-7
1948," Parera, Aníbal Antonio",Combate por la Patria," Argentina : Ed. Suelo Fértil, 2014 ; il. ; 19 cm. ; 86 p.",ISBN : 978-987-33-5131-0
1949," Parera, Aníbal Antonio",Combate por la Reorganización," Argentina : Ed. Suelo Fértil, 2020 ; 19 cm. ; 70 p.",ISBN : 978-987-33-5131-0
1950,Combate por la Reorganización," Argentina : Ed. Suelo Fértil, 2020 ; 19 cm. ; 70 p.",ISBN : 978-987-33-5131-0,nan
1951," Argentina : Ed. Suelo Fértil, 2020 ; 19 cm. ; 70 p.",ISBN : 978-987-33-5131-0,nan,nan
1952," Bodoc, Liliana",Los días del venado," Argentina : Ed. Debolsillo, 2021 ; 19 cm ; 336 p.", ISBN : 978-987-725-276-7
1953," Bodoc, Liliana",Los días de la sombra," Argentina : Ed. Debolsillo, 2021 ; 19 cm. ; 384 p.",ISBN : 978-987-725-274-3
1954," Bodoc, Liliana",Los días del fuego," Argentina : Ed. Debolsillo, 2018 ; 19 cm. ; 480 p.",ISBN : 978-987-725-275-0
1955," Sevilla, Fabián",Bajo un árbol," Argentina : Ed. Bambalí, 2019 ; 20 cm. ; 103 p. ",ISBN : 978-987-47202-0-7
1956," Bombara, Paula",La fuerza escondida," Argentina : Ed. Norma, 2019 ; il. ; 20,5 cm. ; 127 p. ",ISBN : 978-987-545-747-8
1957," Blasco, Martín",Todas las tardes de sol," Argentina : Ed. Santillana, 2020 ; 21,5 cm. ; 120 p.",ISBN : 978-987-46-5241-0
1958," Bodoc, Liliana"," Argentina : Ed. Norma, 2018 ; 21 cm. ; 224 p.",ISBN : 978-987-545-722-5,nan
1959," Cinetto, Liliana"," Argentina : Ed. Norma, 2019 ; 21 cm. ; 181 p.",ISBN : 978-987-545-781-2,nan
1960," Bombara, Paula",La chica pájaro," Argentina : Ed. Norma, 2015 ; 20,5 cm. ; 173 p.",ISBN : 978-987-545-842-0
1961," Kreimer, Ariela",Crack," Argentina : Ed. Edelvives, 2018 ; il. ; 19,5 cm. ; 180 p.",ISBN : 978-987-642-618-3
1962," Vaccarini, Franco",Efecto mutante," Argentina : Ed. Bambalí,2020 ; il. ; 23 cm. ; 116 p. ",ISBN : 978-987-47202-1-4
1963," Devetach, Laura",La Señora de la calle Cangallo," Argentina : Ed. Calibroscopio, 2019 ; il. ; 21,5 cm. 96 p.",ISBN : 978-9873967-39-9
1964," Lima, Juan",Astronomía poética," Argentina : Ed. Calibroscopio,  2018 ; il. ; 26 cm ; 48 p.",ISBN : 978-987-3967-19-1
1965," Frankel, Yael",Un hueco," Argentina : Ed. Calibroscopio, 2020 ; il. ; 24,5 cm. ; 32 p.",ISBN : 978-987-3967-20-7
1966," Marti, Estrella Escriña",Lo que  quiere una mujer ," Argentina : Ed. Calibroscopio, 2014 ; il. ; 23,5 cm. 32 p. ",ISBN : 978-987-24914-8-2
1967," Peinkofer, Michael",El Reino Perdido - Novela Histórica," Argentina : Ed. B, 2014 ; 23 cm. ; 546 p. ",ISBN : 978-987-627-461-6
1968," Siemens, Sandra",La banda del siglo," Argentina :  Ed.Santillana, 2016 ; il. ; 20 cm. ; 208 p. ",ISBN : 978-95-46-4938-0
1969," Dahl, Roald",Cuentos en verso para niños peruersos," Argentina : Ed. Santillana, 2020 ; il. ; 19,5 cm. ; 64 p.",ISBN : 978-950-46-475-8
1970," Bodoc, Liliana",Aprendiz de dragón," Argentina : Ed. SM, 2016 ; il. ; 19 cm. ; 41 p.",ISBN : 978-987-731-359-8
1971," Cinetto, Liliana",¡Cuidado con el perro!," Argentina : Ed. Santillana, 2021 ; il. ; 20 cm. ; 120 p. ",ISBN : 978-95-46-4447-7
1972," Devetach, Laura",Para que sepan de mí," Argentina : Ed. Calibroscopio, 2016 ; il. ; 21 cm. ; 95 p.",ISBN : 978-987-3967-10-8
1973," Roux, Madeleine",La mansión de las furias," Argentina : Ed. VyR, 2018 ; 21 cm. ; 424 p. ",ISBN : 978-987-747-287-5
1974," Shua, Ana María"," Argentina : Ed. Norma, 2008 ; il. ; 20 cm. ; 125 p.",ISBN : 978-987-545-848-2,nan
1975," Bornemann, Elsa",¡Socorro! (12 cuentos para caerse de niedo)," Argentina : Ed. Santillana, 2021 ; 20 cm. ; 172 p. ",ISBN : 978-950-46-4416-3
1976," Avila, Rosa",La Rosa del río," Argentina : Ed. Santilla, 2019 ; il. ; 19,5 cm. ; 184 p.",ISBN : 978-950-46-5883-2
1977," Dahl, Roald",El gran gigante bonachón," Argentina : Ed. Santillana, 2020 ; il. ; 20 cm. ; 272 p.  ",ISBN : 978-950-46-4908-3
1978," Mariño, Rocardo",Cuentos Ridículos," Argentina : Ed. Santillana, 2020 ; il. ; 20 cm.  ; 80 p.",ISBN : 978-950-46-4445-3
1979," Bornemann, Elsa y Otros",Pequeñas historias de mi país," Argentina : Ed. Santillana, 2021 ; il. ; 19,5 cm. ; 88 p.",ISBN : 978-950-46-6209-9
1980," Sevilla, Fabián",Mi querida planta carnívora," Argentina : Ed. Bambalí, 2017 ; il. ; 19 cm. ; 117 p. ",ISBN : 978-987-46346-4-1
1981," Mariño, Ricardo",Cuentos espantosos," Argentina : Ed. Santillana, 2018 ; il. ; 19 cm. ; 80 p.",ISBN : 978-950-46-4565-8
1982," Bodoc, Liliana",Cuando San Pedro viajó en tren," Argentina : Ed. SM, 2008 ; il. ; 19 cm. ; 45 p.",ISBN : 978-987-573-194-3
1983," Gambaro, Griselda",El caballo que no sabía relinchar," Argentina : Ed. Santillana, 2020 ; il. ; 19 cm. ; 40 p.",ISBN : 978-950-464672-3
1984," Bustamante, Nelvy",Adentro de este dedal hay una ciudad," Argentina : Ed. Edelvives, 2014 ; il. ; 20 cm. ; 4 p. ",ISBN : 978-987-642-292-5
1985," Sevilla, Fabián",Angurrias no es ningún gallina y otras avivadas del zorro," Argentina : Ed. Banbalí, 2020 ; il. ; 20,5 cm. ; 100 p.",ISBN : 978-987-47202-3-8
1986," Mariño, Ricardo",Cinthia Scoch el libro de la risa," Argentina : Ed. Santillan, 2019 ; il. ; 20 cm. ; 96 p.",ISBN : 978-950-46-4778-2
1987," Mainé, Margarita",Días de playa," Argentina : Ed. Hola Chicos SRL, 2021 ; il. ; 20 cm. ; 97 p. ",ISBN : 978-987-407-62-9
1988," Canale, Florencia",Bastarda," Argentina : Ed. Planeta, 2022 ; 23 cm. ; 441 p. ",ISBN : 978-950-49-7856-5
1989," de Paula Fenández, francisco",Blue Jeans Algo tan sencillo como tuitear te quiero," Argentina : Ed. Planeta, 2015 ; 22 cm. ; 539 p.",IIBN : 978-84-08-14102-0
1990,nan,nan,nan,nan
1991, Pérez. Fernanda,Los parísos perdidos," Argentina : Ed. Suma de Letras, 2022 ; 21 cm. ; 531 p.",ISBN : 978-987-739-179-4
1992," Grandes, Almudena",Todo va a mejorar," Argentina : Ed. TusQets,2022 ; 22 cm. ; 500 p.",ISBN : 978-987-67-734-3
1993," Grisham, John",La lista de Juez," Argentina : Ed. P&J, 2022 ; 23 cm. ; 426 p. ",ISBN : 978-950-644-642-
1994,nan,nan,nan,nan
1995," Lagercrantz, David",La chica que vivió dos veces ," Argentina : Ed. Destino, 2019 ; 23 cm. ; 579 p.",ISBN : 978-950-732-482-6
1996," Piñeiro, Claudia",El tiempo de las moscas," Argentina : Ed. Alfaguara, 2022 ; 23 cm. ; 405 p.",ISBN : 978-987-738-975-3
1997," Tagtachian, Magda",Artsaj," Argentina : Ed. P&J, 2022 ; 23 cm. ; 349 p.",ISBN : 978-950-644-644-4
1998," Cook, Robin",Anastecia letal," Argentina : Ed. Debolsillo, 2017 ; 19 cm. ; 425 p.",ISBN : 978-987-725-255-2
1999," Cook, Robin",Pandemia," Argentina : Ed. P&J, 2022 ; 23 cm. ; 457 p. ",ISBN : 978-950-644-7
2000," Reyes, Dolores",Cometierra," Argentina : Ed. Siglio, 2023 ;  22 cm. ; 220 p.",ISBN : 978-987-4063-65-6
2001," Della Giustina, Nidia Haydée",La piel del alma," Argentina : Ed. Dunken, 2022 ; 22 cm. ; 104 p. ",ISBN : 978-987-85-2359-0
2002," Yuszcuk, Marina",La Sed," Argentina : Ed. Blatt & Ríos, 2020 ; 17 cm. ; 290p.",ISBN : 978-987-4941-81-7
2003," Sosa Villada, Camila",Las malas," Argentina : Ed. TusQuets, 2022 ; 21 cm. ; 220 p. ",ISBN : 978-987-670-481-6
2004," Venturini, Aurora",Cuentos secretos," Argentina : Ed. TusQets, 2021 ; 21 cm. ; 290 p.",ISBN : 978-987-670-676-6
2005," Echazarreta, Carlos",Hazañas de Don Goyo Cardozo (Cuentos entrerrianos)," Argentina : Ed. Del Clé, , 2021 ; 22 cm. ; 131 p. ",ISBN : 978-987-8404-13-4
2006," Lujan, Luis",Ciebas tierra grandiosa  (Crónica del país de los matreros)," Argentina : Ed. Del Clé, 2007 ; il. ; 22 cm. ; 314 p.",ISBN : 978-987-1325-11-5
2007," Paniza, Delio",Guitarras y lanzas  - Montiel 1930," Argentina : Ed. Del Clé, 2022 ; 22 cm. ; 147 p.",ISBN : 978-987-8404-21-9
2008," Román, Marcelino M.",Tierra y Gente (Poemas)," Aregentina : Ed. Del Clé, 2020 ; 22 cm. ; 105 p.", ISBN : 978-987-8404-03-5
2009," Monzón, Julián",Recuerdos del pasado ,Vida y costumbres de Entre Ríos en los tiempos viejos," Argentina : Ed. Del Clé, 2017 ; 22 cm. ; 22 cm."
2010," Alsina, Juan Carlos",Marroncito - El hornerito rebelde, Argentina : Ed. Del Cl♪0. 2014 ; il. ; 22 cm. ; 94 p. ,ISBN : 978-987-1325-97-9
2011," Romani, Roberto Alonso",Hermanos de patria y cielo (misceláneas montieleras)," Argnetina : Ed. Del Clé, 2014 ; il. ; 22 cm. ; 219 p.",ISBN : 978-987-1325-90-0
2012," Balboa, Manrique",Montielero (Novela)," Argentina : Ed. Del Clé, 2020 ; 22 cm ; 261 p. ",ISBN : 978-987-3755-95-8
2013," Leguizamón, Martiniano",Recuerdos de la Tierra," Argentina : Ed. Del Clé, 2017 ; il. ; 22 cm. ; 227 p. ",ISBN : 987-978-3755-64-4
2014," Lobodón, Garra",Río abajo,El drama de los montes y los esteros de las islas del Ibicuy," Argentina : Ed. Del Clé, 2020 ; 22 cm. ; 224 p. "
2015," Del Pospón, Martín",El país de ls chajás," Argentina : Ed. Del Clé, 2017 ; il. ; 22 cm. ; 175 p. ",ISBN : 978-987-3755-57-6
2016," Felizia, Pablo Gabriel",Crónicas patrias ,(Cuentos de entrerrianos combatientes de malvinas," Argentina : Ed. Ana, 2019 ; 19 cm. ; 88 p."
2017," Garcia, Santiago",Micaela García La chica de la sonrisa eterna," Argentina : Ed. Chirimbote, 2022 ; 22 c. ; 125 p. ",ISBN : 978-987-8432-24-3
2018,Micaela García La chica de la sonrisa eterna," Argentina : Ed. Chirimbote, 2022 ; 22 c. ; 125 p. ",ISBN : 978-987-8432-24-3,nan
2019," Fink, Nadia y Saá, Pitu",Micaela García La Negra para chicas y chicos," Argentina : Ed. Chirimbote, 2022 ; il. ; 21 cm. ; ",ISBN : 978-987-47471-4-3
2020,Micaela García La Negra para chicas y chicos," Argentina : Ed. Chirimbote, 2022 ; il. ; 21 cm. ; ",ISBN : 978-987-47471-4-3,nan
2021," Valencia, Aníbal",Cinco veces Cinco," Argentina : Ed. Imaginante, 2022 ; 23 cm. ; 110 p. ",ISBN : 978-987-8919-81-2
2022,"  de Vaconcelos, Jsé Mauro",Mi planta de naranja lima," Aregntina : Ed. El Ateneo, 2019 ; il. ; 19 cm. ; 253 p. ",ISBN : 978-950-02-1036-2
2023," Maresman, Guillermo",Los controladores y otros textos," Argentina : Ed. L A Mercado, 2022 ; 20 cm ; 144 p.",ISBN : 978-987-88-3990-5
2024," Baldacci, David",Los Coleccionista," Argentina : Ed. B, 2007 ; 23 cm. ; 388 p. ",ISBN : 978-84-666-3820-3
2025," Steel, Danielle",Esperanza," Argentina : Ed. Debolsillo ,2011 ; 19 cm. ; 232 p.",ISBN : 987-566-066-3
2026," Exilart, Gabriela", Piceladas de azabache," Argentina : Ed. P&J, 2013 ; 23 cm. ; 318 p.",ISBN : 978-950-644-274-3
2027," Green, John",Bajo la misma estrella," Argentina : Ed. Nube de Tinta, 2013 ; 21 cm. ; 301 p.",ISBN : 978-987-1997-00-8
2028," Woodward, Bob",Plan de ataque," Argentina : Ed. Planeta, 2004 ; 23 cm. ; 516 p.",ISBN : 950-49-1279-8
2029," Arlt, Roberto",La fiesta del hierro. El desierto entra en la cuidad," Argentina : Ed.Losada, 2004 ; 18 cm. ; 189 p.",ISBN : 950-03-0600-X
2030," Cavarozzi, Marcelo y Otros",Politica y Gestión," Argentina : Ed. HomoSapiens, 2001  ; 23 cm. ; 160 p.",ISBN : 950-808-330-1
2031," Finchelman, María Rosa",El teatro con recetas. Colección homenaje al Teatro Argentino," Argentina : Int. Nac. Del Teatro, 2006 ; il. ; 21 cm, ; 229 p.",ISBN : 987-9433-44-0
2032," Basch, Adela",Una nave especial," Argentina : Ed. AZ, 2023 ; il. ; 19 cm. ; 45 p.",ISBN : 978-987-35-0465-5
2033," Mainé, Margarita",El país de Malku," Argentina :Ed. Norma, 2023 ; il.; 24 cm. ; 47 p.",ISBN : 978-987-807-075-9
2034," Basch, Adela",Había una vez un libro," Argentina : Ed. Abran Cnacha, 2021 ; il. 20 cm. ; 24 p.",ISBN : 978-987-20309-6-4
2035," Schuff, Nicolás",Martín viaja al espacio," Argentina : Ed. Edelvives, 2023 ; il. ; 18 cm. ; 32 p.",ISBN : 978-987-642-278-9
2036," Devetach, Laura",¿Quién fue primero?," Argentina : Ed. Norma, 2019 ; il. ; 24 cm. ; 32 p.",ISBN : 978-987-545-829-1
2037," Sevilla, Fabián",¿Has visto a un mamut andar en bicicleta?," Argentina : Ed. Bambalí, 2021 ; il. ; 24 cm. ; 44 p.",ISBN : 978-987-48174-2-6
2038," Mainé, Margarita",Malju y los cabritos," Argentina : Ed. Norma, 2019 ; il. ; 27 cm. ; 31 p. ",ISBN : 978-987-545-757-6
2039," Gutierrez, Javiera",Una noche muy jajá," Argentina : Ed. CEPA, 2021 ; il. ; 22 cm. ; 32 p. ",ISBN : 978-987-45730-3-2
2040," Mainé, Margarita",El mágico libro de las estaciones," Argentina : Ed. Hola Chicos, 2024 ; il. ; 23 cm. ; 95 p.",ISBN : 978-987-8450-55-1
2041," Carzon, Walter",Robin Hood del imperio Inca," Argentina : Ed. Albatros, 20216 ; il. ; 21 cm. ; 32 p.",ISBN : 978-950-24-1322-8
2042," Carzon, Walter",Blancanieves de la Tierra del Fuego," Argentina : Ed. Albatros, 2020 ; il, ; 21 cm. ; 32 p.",ISBN : 978-950-94-1259-9
2043," Lynch, Agustina",La vaca no se calla," Argentina : Ed. El Ateneo, 2023 ; il. 22 cm. ; 40 p.",ISBN : 978-950-02-1399-8
2044," Manauta, Juan José",Las tierras blancas," Argentina : Ed. EDUNER, 2022 ; il. 23 cm. ; 276 p.",ISBN : 978-950-698-497-7
2045," Madariaga, Francisco",El tren casi fluvial. Contradeguellos I ," Argentina : Ed. EDUNER, 2016 ; 22 cm. ; 532 p.",ISBN : 978-950-698-373-4
2046," Madariaga, Francisco",Criollo del universo. Contradeguellos II," Argentina : Ed. Aeduner, 2016 ; 22 cm. ; 690 p.",ISBN : 978-950-698-374-1
2047," Mendaro, María Celeste",Andando la ciudad,"Argentina : Ed. EDUNER, 2023 ; 22 cm. ; 222 p. ",ISBN : 978-950-698-557-8
2048," Barrandéguy, Emma",Cronosíntesis," Argentina : Ed. EDUNER, 2016 ; 22 cm. ; 321 p.",ISBN : 978-950-698-388-8
2049," Jzami, Nicolás J.",¡Vendida!," Argentina : Ed. EDUNER, 2022 ; IL. ; 22 cm. ; 103 p.",ISBN : 978-950-698-532-5
2050," Arlt, Roberto; Walsh, Rodolfo ",El país del río. Aguafuertes y crónicas," Argentina : Ed. EDUNER, 2019 ; il. ; 22 cm. ; 264 p.",ISBN : 978-950-698-390-1
2051," Manauta, Juan José",Poesía completa," Argentina : Ed. EDUNER, 2015 ; il. ; 22 cm. ; 345 p.",ISBN : 978-950-698-348-2
2052," Ortiz, Juan L.",El junco y la corriente," Argentina : Ed. EDUNER, 2016 ; il. ; 22 cm. ; 209 p.",ISBN : 978-950-698-306-2
2053," Manauta, Juan José",Cuentos completos. 2º edición ampliada y comentada," Argentina : Ed. EDUNER, 2014 ; 22 cm. ; 665 p.",ISBN : 978-950-698-328-4
2054," Villanueva, Amaro",El arte de cebar. El lenguaje del mate," Argentina : Ed. EDUNER, 2018 ; il. ; 22 cm. ; 494 p.",ISBN : 978-950-698-412-0
2055," Cabezón Cámara, Gabriela",La niñas del naranjel," Argentina : Ed. Randon House, 2024 ; 22 cm. ; 254 p.",ISBN : 978-987-769-326-3
